CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,hemisphere,NAVR,NAVR_II,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,d_icv_thresholded
ADHDadult_casevsCN,L_frontalpole,0.08,-0.06,,,539,733,0.14,0.54,1272,lh,0.3407844666065796,1.0564724571328543,0.019110243942008,0.0874342826669363,0.0827605888602368,584,0.08
ADHDadult_casevsCN,L_temporalpole,-0.02,-0.06,,,494,688,0.75,0.95,1182,lh,0.3656352824157033,1.0647484020871838,0.020503808493230694,0.0881192047447315,0.0827605888602368,584,
ADHDadult_casevsCN,L_transversetemporal,-0.02,-0.06,,,494,688,0.79,0.95,1182,lh,0.1956680130206627,1.018963184476973,0.011382589982906581,0.0843299931742164,0.0827605888602368,584,-0.02
ADHDadult_casevsCN,L_insula,-0.01,-0.06,,,532,725,0.9,0.95,1257,lh,0.2981904866965747,1.0435121304308543,0.016734853662538643,0.0863616783972577,0.0827605888602368,584,
ADHDadult_casevsCN,R_bankssts,0.01,-0.06,,,514,709,0.81,0.95,1223,rh,0.1534593994993605,1.0117063740506451,0.00861913857793026,0.0837294152700864,0.0827605888602368,584,0.01
ADHDadult_casevsCN,R_caudalanteriorcingulate,-0.11,-0.06,,,538,730,0.06,0.43,1268,rh,0.2345456463717201,1.0271376053051158,0.013157839858670932,0.0850065130555448,0.0827605888602368,584,-0.11
ADHDadult_casevsCN,R_caudalmiddlefrontal,-0.02,-0.06,,,539,733,0.74,0.95,1272,rh,0.1700381669057965,1.014353477937885,0.009900004828741078,0.0839484911465685,0.0827605888602368,584,-0.02
ADHDadult_casevsCN,R_cuneus,0.11,-0.06,,,539,732,0.06,0.43,1271,rh,0.2110250670946185,1.0220232771039457,0.012307231840914284,0.0845832482419915,0.0827605888602368,584,0.11
ADHDadult_casevsCN,R_entorhinal,-0.06,-0.06,,,479,670,0.33,0.88,1149,rh,0.3352087278490374,1.054687105840481,0.01881977827442205,0.0872865259426571,0.0827605888602368,584,-0.06
ADHDadult_casevsCN,R_fusiform,-0.01,-0.06,,,493,687,0.89,0.95,1180,rh,0.2034578796835348,1.0204876818488893,0.012014973048272837,0.084456161474432,0.0827605888602368,584,
ADHDadult_casevsCN,R_inferiorparietal,0.08,-0.06,,,538,730,0.17,0.55,1268,rh,0.1402146441904612,1.0097822272378625,0.007869035588180775,0.0835701717468069,0.0827605888602368,584,0.08
ADHDadult_casevsCN,R_inferiortemporal,0.0,-0.06,,,493,683,0.97,0.97,1176,rh,0.1804525516817452,1.0161511321690553,0.010123256661749864,0.0840972660693073,0.0827605888602368,584,
ADHDadult_casevsCN,R_isthmuscingulate,0.04,-0.06,,,539,733,0.52,0.95,1272,rh,0.2184653938129115,1.0235854279413277,0.012250930948303316,0.0847125327651817,0.0827605888602368,584,0.04
ADHDadult_casevsCN,R_lateraloccipital,0.14,-0.06,,,539,730,0.02,0.43,1269,rh,0.1526839267879651,1.0115890378505457,0.008565457038947247,0.0837197044570715,0.0827605888602368,584,0.14
ADHDadult_casevsCN,R_lateralorbitofrontal,0.03,-0.06,,,539,733,0.66,0.95,1272,rh,0.2955741158849632,1.04276749948451,0.016581492529684033,0.0863000523016547,0.0827605888602368,584,0.03
ADHDadult_casevsCN,R_lingual,0.11,-0.06,,,494,688,0.07,0.43,1182,rh,0.2610434941592119,1.033510380133093,0.014655885339206462,0.0855339276529819,0.0827605888602368,584,0.11
ADHDadult_casevsCN,R_medialorbitofrontal,-0.08,-0.06,,,539,731,0.17,0.55,1270,rh,0.2374629973130645,1.0278077033632822,0.0133636245495687,0.0850619707654328,0.0827605888602368,584,-0.08
ADHDadult_casevsCN,R_middletemporal,0.02,-0.06,,,477,670,0.8,0.95,1147,rh,0.1421137530783172,1.010047681455685,0.008267179480438074,0.0835921408941893,0.0827605888602368,584,0.02
ADHDadult_casevsCN,R_parahippocampal,0.1,-0.06,,,492,688,0.09,0.43,1180,rh,0.1475454646038709,1.0108262284513456,0.008286978902007023,0.0836565739020056,0.0827605888602368,584,0.1
ADHDadult_casevsCN,R_paracentral,-0.01,-0.06,,,538,732,0.8,0.95,1270,rh,0.1965077196420784,1.0191247636471843,0.01108516017324973,0.0843433655614906,0.0827605888602368,584,
ADHDadult_casevsCN,R_parsopercularis,-0.01,-0.06,,,539,731,0.89,0.95,1270,rh,0.1842800518819023,1.0168378127910058,0.01033797663405275,0.0841540961619388,0.0827605888602368,584,
ADHDadult_casevsCN,R_parsorbitalis,-0.01,-0.06,,,539,732,0.92,0.95,1271,rh,0.2583572701375833,1.032835165470727,0.015042141822897093,0.0854780464899174,0.0827605888602368,584,
ADHDadult_casevsCN,R_parstriangularis,-0.03,-0.06,,,538,732,0.6,0.95,1270,rh,0.2348309682032626,1.0272027957649268,0.013695620188136533,0.0850119082563869,0.0827605888602368,584,-0.03
ADHDadult_casevsCN,R_pericalcarine,0.04,-0.06,,,539,732,0.45,0.95,1271,rh,0.2823649468492684,1.0391005549075556,0.015852945495397126,0.0859965738091481,0.0827605888602368,584,0.04
ADHDadult_casevsCN,R_postcentral,0.05,-0.06,,,528,727,0.41,0.95,1255,rh,0.1919447953904879,1.0182547836752334,0.01116599934528952,0.0842713655067153,0.0827605888602368,584,0.05
ADHDadult_casevsCN,R_posteriorcingulate,-0.11,-0.06,,,539,733,0.05,0.43,1272,rh,0.229542991757253,1.0260068153111217,0.01355539959264847,0.0849129282097646,0.0827605888602368,584,-0.11
ADHDadult_casevsCN,R_precentral,-0.06,-0.06,,,537,729,0.29,0.84,1266,rh,0.203213697138652,1.0204390264512426,0.011404627697929349,0.0844521347250715,0.0827605888602368,584,-0.06
ADHDadult_casevsCN,R_precuneus,0.04,-0.06,,,539,732,0.46,0.95,1271,rh,0.1368537324431657,1.0093210312302154,0.007677394670949173,0.083532002893634,0.0827605888602368,584,0.04
ADHDadult_casevsCN,R_rostralanteriorcingulate,-0.09,-0.06,,,535,730,0.14,0.54,1265,rh,0.2607243987946873,1.033429829319268,0.014626448794328959,0.0855272612201966,0.0827605888602368,584,-0.09
ADHDadult_casevsCN,R_rostralmiddlefrontal,0.03,-0.06,,,538,733,0.63,0.95,1271,rh,0.192271968463831,1.0183165077012926,0.010782076592698012,0.0842764738234588,0.0827605888602368,584,0.03
ADHDadult_casevsCN,R_superiorfrontal,-0.04,-0.06,,,535,730,0.54,0.95,1265,rh,0.1426994383762407,1.0101302538350658,0.0080053345142937,0.0835989746329305,0.0827605888602368,584,-0.04
ADHDadult_casevsCN,R_superiorparietal,0.1,-0.06,,,539,730,0.08,0.43,1269,rh,0.1081804550791144,1.0058344848239815,0.006068844703743596,0.0832434542599656,0.0827605888602368,584,0.1
ADHDadult_casevsCN,R_superiortemporal,0.04,-0.06,,,476,661,0.54,0.95,1137,rh,0.1130545562343416,1.006370375500662,0.006347274114538238,0.0832878048879324,0.0827605888602368,584,0.04
ADHDadult_casevsCN,R_supramarginal,0.02,-0.06,,,535,728,0.67,0.95,1263,rh,0.1349963545396925,1.0090708675504445,0.007597144052092119,0.0835112992001847,0.0827605888602368,584,0.02
ADHDadult_casevsCN,R_frontalpole,0.08,-0.06,,,539,733,0.14,0.54,1272,rh,0.3308039802832321,1.0532954349902164,0.01924385091946487,0.0871713504435895,0.0827605888602368,584,0.08
ADHDadult_casevsCN,R_temporalpole,-0.02,-0.06,,,494,688,0.75,0.95,1182,rh,0.3205953854095554,1.0501339919962125,0.01864998660840656,0.0869097075597577,0.0827605888602368,584,-0.02
ADHDadult_casevsCN,R_transversetemporal,-0.02,-0.06,,,494,688,0.79,0.95,1182,rh,0.1930159768564547,1.018457248647115,0.010888188124859324,0.0842881216270118,0.0827605888602368,584,-0.02
ADHDadult_casevsCN,R_insula,-0.01,-0.06,,,532,725,0.9,0.95,1257,rh,0.3167477759911346,1.0489657542528878,0.01776931943335375,0.0868130235161914,0.0827605888602368,584,
