CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,hemisphere,NAVR,NAVR_II,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,d_icv_thresholded
22qvsCN,L_rostralmiddlefrontal,0.7,0.08,0.54,0.85,315,386,1.08e-18,1.52e-17,701,lh,0.1904458556017539,1.017973292339187,0.014386081384743673,0.0842480691179851,0.0827605888602368,584,0.7
22qvsCN,L_superiorfrontal,0.49,0.08,0.34,0.65,315,386,2.18e-10,5.87e-10,701,lh,0.132671725682411,1.0087625026712428,0.01002188384247504,0.0834857787411982,0.0827605888602368,584,0.49
22qvsCN,L_superiorparietal,0.27,0.08,0.12,0.42,315,386,0.000498,0.000727,701,lh,0.1101292843519363,1.0060459528629244,0.008319051325766644,0.0832609554793936,0.0827605888602368,584,0.27
22qvsCN,L_superiortemporal,-0.5,0.08,-0.65,-0.35,315,386,1.77e-10,4.95e-10,701,lh,0.1260174974969587,1.0079089292567045,0.009519230382644695,0.0834151365027756,0.0827605888602368,584,-0.5
22qvsCN,L_supramarginal,0.6,0.08,0.45,0.75,315,386,2.21e-14,1.1900000000000002e-13,701,lh,0.1406715982860254,1.009845779594263,0.010626185878765286,0.0835754313772461,0.0827605888602368,584,0.6
22qvsCN,L_frontalpole,0.1,0.08,-0.05,0.25,315,386,0.178,0.201,701,lh,0.3407844666065796,1.0564724571328543,0.025742503326040174,0.0874342826669363,0.0827605888602368,584,0.1
22qvsCN,L_temporalpole,-0.07,0.08,-0.22,0.08,315,386,0.3829999999999999,0.419,701,lh,0.3656352824157033,1.0647484020871838,0.027619708044293104,0.0881192047447315,0.0827605888602368,584,-0.07
22qvsCN,L_transversetemporal,-0.22,0.08,-0.37,-0.07,315,386,0.00502,0.0067599999999999,701,lh,0.1956680130206627,1.018963184476973,0.014780557711860308,0.0843299931742164,0.0827605888602368,584,-0.22
22qvsCN,L_insula,0.87,0.08,0.71,1.03,315,386,1.9100000000000003e-27,1.3399999999999999e-25,701,lh,0.2981904866965747,1.0435121304308543,0.022524998489564102,0.0863616783972577,0.0827605888602368,584,0.87
22qvsCN,R_bankssts,-0.01,0.08,-0.16,0.14,315,386,0.932,0.942,701,rh,0.1534593994993605,1.0117063740506451,0.011592163050626979,0.0837294152700864,0.0827605888602368,584,
22qvsCN,R_caudalanteriorcingulate,-0.03,0.08,-0.18,0.12,315,386,0.728,0.7609999999999999,701,rh,0.2345456463717201,1.0271376053051158,0.017717333603713248,0.0850065130555448,0.0827605888602368,584,-0.03
22qvsCN,R_caudalmiddlefrontal,0.63,0.08,0.48,0.78,315,386,9.38e-16,8.209999999999999e-15,701,rh,0.1700381669057965,1.014353477937885,0.01284450585648181,0.0839484911465685,0.0827605888602368,584,0.63
22qvsCN,R_cuneus,0.58,0.08,0.43,0.73,315,386,1.3200000000000004e-13,6.159999999999999e-13,701,rh,0.2110250670946185,1.0220232771039457,0.015940613566264538,0.0845832482419915,0.0827605888602368,584,0.58
22qvsCN,R_entorhinal,-0.01,0.08,-0.15,0.14,315,386,0.942,0.942,701,rh,0.3352087278490374,1.054687105840481,0.025321317833225842,0.0872865259426571,0.0827605888602368,584,
22qvsCN,R_fusiform,0.29,0.08,0.14,0.44,315,386,0.000152,0.000231,701,rh,0.2034578796835348,1.0204876818488893,0.015368996118326464,0.084456161474432,0.0827605888602368,584,0.29
22qvsCN,R_inferiorparietal,0.22,0.08,0.07,0.37,315,386,0.00469,0.00644,701,rh,0.1402146441904612,1.0097822272378625,0.010591668042779267,0.0835701717468069,0.0827605888602368,584,0.22
22qvsCN,R_inferiortemporal,0.34,0.08,0.19,0.49,315,386,1.0800000000000002e-05,1.85e-05,701,rh,0.1804525516817452,1.0161511321690553,0.013631197625044788,0.0840972660693073,0.0827605888602368,584,0.34
22qvsCN,R_isthmuscingulate,-0.09,0.08,-0.24,0.06,315,386,0.252,0.281,701,rh,0.2184653938129115,1.0235854279413277,0.016502648089726547,0.0847125327651817,0.0827605888602368,584,-0.09
22qvsCN,R_lateraloccipital,0.18,0.08,0.03,0.33,315,386,0.0172,0.0215,701,rh,0.1526839267879651,1.0115890378505457,0.011533584650469454,0.0837197044570715,0.0827605888602368,584,0.18
22qvsCN,R_lateralorbitofrontal,0.42,0.08,0.27,0.57,315,386,6.54e-08,1.3900000000000001e-07,701,rh,0.2955741158849632,1.04276749948451,0.022327360566126064,0.0863000523016547,0.0827605888602368,584,0.42
22qvsCN,R_lingual,0.55,0.08,0.4,0.7,315,386,2.7000000000000002e-12,9.47e-12,701,rh,0.2610434941592119,1.033510380133093,0.019718953400515465,0.0855339276529819,0.0827605888602368,584,0.55
22qvsCN,R_medialorbitofrontal,0.61,0.08,0.45,0.76,315,386,1.06e-14,6.16e-14,701,rh,0.2374629973130645,1.0278077033632822,0.0179377072523675,0.0850619707654328,0.0827605888602368,584,0.61
22qvsCN,R_middletemporal,0.42,0.08,0.27,0.57,315,386,4.74e-08,1.04e-07,701,rh,0.1421137530783172,1.010047681455685,0.010735124748271024,0.0835921408941893,0.0827605888602368,584,0.42
22qvsCN,R_parahippocampal,-0.3,0.08,-0.45,-0.15,315,386,0.00013,0.000202,701,rh,0.1475454646038709,1.0108262284513456,0.011145430574135088,0.0836565739020056,0.0827605888602368,584,-0.3
22qvsCN,R_paracentral,0.56,0.08,0.41,0.71,315,386,6.65e-13,2.7400000000000004e-12,701,rh,0.1965077196420784,1.0191247636471843,0.014843988274614351,0.0843433655614906,0.0827605888602368,584,0.56
22qvsCN,R_parsopercularis,0.34,0.08,0.19,0.49,315,386,9.77e-06,1.7100000000000002e-05,701,rh,0.1842800518819023,1.0168378127910058,0.013920322999842787,0.0841540961619388,0.0827605888602368,584,0.34
22qvsCN,R_parsorbitalis,0.36,0.08,0.21,0.51,315,386,2.5e-06,4.48e-06,701,rh,0.2583572701375833,1.032835165470727,0.019516038838417498,0.0854780464899174,0.0827605888602368,584,0.36
22qvsCN,R_parstriangularis,0.44,0.08,0.29,0.59,315,386,1.19e-08,2.86e-08,701,rh,0.2348309682032626,1.0272027957649268,0.01773888651740856,0.0850119082563869,0.0827605888602368,584,0.44
22qvsCN,R_pericalcarine,0.68,0.08,0.52,0.83,315,386,1.02e-17,1.1899999999999999e-16,701,rh,0.2823649468492684,1.0391005549075556,0.021329553708256104,0.0859965738091481,0.0827605888602368,584,0.68
22qvsCN,R_postcentral,0.43,0.08,0.28,0.58,315,386,3.17e-08,7.15e-08,701,rh,0.1919447953904879,1.0182547836752334,0.014499309733680027,0.0842713655067153,0.0827605888602368,584,0.43
22qvsCN,R_posteriorcingulate,-0.13,0.08,-0.28,0.02,315,386,0.0836,0.0975,701,rh,0.229542991757253,1.0260068153111217,0.017339438289603697,0.0849129282097646,0.0827605888602368,584,-0.13
22qvsCN,R_precentral,0.42,0.08,0.27,0.57,315,386,7.18e-08,1.44e-07,701,rh,0.203213697138652,1.0204390264512426,0.015350550823456077,0.0844521347250715,0.0827605888602368,584,0.42
22qvsCN,R_precuneus,0.49,0.08,0.34,0.64,315,386,2.42e-10,6.26e-10,701,rh,0.1368537324431657,1.0093210312302154,0.01033778827327333,0.083532002893634,0.0827605888602368,584,0.49
22qvsCN,R_rostralanteriorcingulate,0.16,0.08,0.01,0.31,315,386,0.0409,0.0495,701,rh,0.2607243987946873,1.033429829319268,0.01969484926934894,0.0855272612201966,0.0827605888602368,584,0.16
22qvsCN,R_rostralmiddlefrontal,0.8,0.08,0.64,0.95,315,386,1.1300000000000001e-23,3.97e-22,701,rh,0.192271968463831,1.0183165077012926,0.014524024046549365,0.0842764738234588,0.0827605888602368,584,0.8
22qvsCN,R_superiorfrontal,0.53,0.08,0.38,0.68,315,386,1.25e-11,4.16e-11,701,rh,0.1426994383762407,1.0101302538350658,0.010779366805075843,0.0835989746329305,0.0827605888602368,584,0.53
22qvsCN,R_superiorparietal,0.3,0.08,0.15,0.45,315,386,0.000105,0.000171,701,rh,0.1081804550791144,1.0058344848239815,0.00817183879423005,0.0832434542599656,0.0827605888602368,584,0.3
22qvsCN,R_superiortemporal,-0.32,0.08,-0.47,-0.17,315,386,3.88e-05,6.47e-05,701,rh,0.1130545562343416,1.006370375500662,0.008540023314050738,0.0832878048879324,0.0827605888602368,584,-0.32
22qvsCN,R_supramarginal,0.71,0.08,0.55,0.86,315,386,3.79e-19,6.62e-18,701,rh,0.1349963545396925,1.0090708675504445,0.010197483882835631,0.0835112992001847,0.0827605888602368,584,0.71
22qvsCN,R_frontalpole,0.14,0.08,-0.01,0.29,315,386,0.0612,0.0727,701,rh,0.3308039802832321,1.0532954349902164,0.02498858779423022,0.0871713504435895,0.0827605888602368,584,0.14
22qvsCN,R_temporalpole,0.01,0.08,-0.14,0.16,315,386,0.901,0.928,701,rh,0.3205953854095554,1.0501339919962125,0.024217441180340672,0.0869097075597577,0.0827605888602368,584,
22qvsCN,R_transversetemporal,0.06,0.08,-0.09,0.21,315,386,0.436,0.47,701,rh,0.1930159768564547,1.018457248647115,0.014580225664869686,0.0842881216270118,0.0827605888602368,584,0.06
22qvsCN,R_insula,0.63,0.08,0.48,0.78,315,386,1.13e-15,8.75e-15,701,rh,0.3167477759911346,1.0489657542528878,0.023926796776159696,0.0868130235161914,0.0827605888602368,584,0.63
