SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,d_icv_thresholded
22qvsCN,L_superiorfrontal,-0.34,0.08,-0.49,-0.19,315,386,8.33e-06,1.3e-05,701,L_superiorfrontal,lh,0.1296969686255579,0.009797173795703431,0.0840662703418397,566,-0.34
22qvsCN,L_superiorparietal,-1.1,0.08,-1.26,-0.94,315,386,9.02e-41,6.31e-40,701,L_superiorparietal,lh,0.1358861602066383,0.01026469887525876,0.0840662703418397,566,-1.1
22qvsCN,L_superiortemporal,-0.39,0.08,-0.55,-0.24,315,386,3.51e-07,6.31e-07,701,L_superiortemporal,lh,0.1176477597997551,0.008886989122783857,0.0840662703418397,566,-0.39
22qvsCN,L_supramarginal,-0.15,0.08,-0.3,0.0,315,386,0.0485,0.0566,701,L_supramarginal,lh,0.1082569006559294,0.008177613413405088,0.0840662703418397,566,-0.15
22qvsCN,L_frontalpole,-0.17,0.08,-0.32,-0.03,315,386,0.023,0.0283,701,L_frontalpole,lh,0.3878276705376012,0.029296097906570062,0.0840662703418397,566,-0.17
22qvsCN,L_temporalpole,-0.61,0.08,-0.76,-0.46,315,386,9.38e-15,2.53e-14,701,L_temporalpole,lh,0.3829949443932145,0.02893103881193317,0.0840662703418397,566,-0.61
22qvsCN,L_transversetemporal,-0.39,0.08,-0.54,-0.24,315,386,6.24e-07,1.06e-06,701,L_transversetemporal,lh,0.1809503801815842,0.013668803070916525,0.0840662703418397,566,-0.39
22qvsCN,L_insula,0.31,0.08,0.16,0.46,315,386,7.099999999999999e-05,0.000101,701,L_insula,lh,0.299847994886643,0.022650204930223353,0.0840662703418397,566,0.31
22qvsCN,R_bankssts,-0.24,0.08,-0.39,-0.09,315,386,0.0017,0.00229,701,R_bankssts,rh,0.1825977843962243,0.013793246267805731,0.0840662703418397,566,-0.24
22qvsCN,R_caudalanteriorcingulate,-0.81,0.08,-0.97,-0.66,315,386,1.93e-24,7.52e-24,701,R_caudalanteriorcingulate,rh,0.1383714680931598,0.010452436441973837,0.0840662703418397,566,-0.81
22qvsCN,R_caudalmiddlefrontal,-0.07,0.08,-0.21,0.08,315,386,0.3929999999999999,0.417,701,R_caudalmiddlefrontal,rh,0.1657564399893244,0.012521068669082872,0.0840662703418397,566,-0.07
22qvsCN,R_cuneus,-1.47,0.09,-1.63,-1.3,315,386,1.3699999999999996e-65,4.779999999999999e-64,701,R_cuneus,rh,0.1359122118474259,0.010266666789043982,0.0840662703418397,566,-1.47
22qvsCN,R_entorhinal,-0.49,0.08,-0.64,-0.34,315,386,2.71e-10,5.75e-10,701,R_entorhinal,rh,0.3394861382835046,0.025644428958074235,0.0840662703418397,566,-0.49
22qvsCN,R_fusiform,-1.05,0.08,-1.21,-0.89,315,386,7.549999999999999e-38,4.4e-37,701,R_fusiform,rh,0.1441676106290709,0.01089027100642641,0.0840662703418397,566,-1.05
22qvsCN,R_inferiorparietal,-0.15,0.08,-0.3,0.0,315,386,0.046,0.0545,701,R_inferiorparietal,rh,0.0931743589228291,0.007038293935038999,0.0840662703418397,566,-0.15
