Structure,Cohen_d,n_patients,n_controls,population_size,hemisphere,NAVR,NAVR_II,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,Cohen_d_thresholded
L_bankssts,-0.06,1911,7663,9574,lh,0.1679100593637136,1.013998909287148,0.003432100521574584,0.0839191468362422,0.0827605888602368,584,-0.06
L_caudalanteriorcingulate,-0.04,1911,7663,9574,lh,0.2181119375336781,1.0235100474810666,0.004458232564550882,0.0847062942339019,0.0827605888602368,584,-0.04
L_caudalmiddlefrontal,-0.01,1911,7663,9574,lh,0.1753441914871878,1.0152564136651865,0.0035840550193284217,0.0840232186390629,0.0827605888602368,584,-0.01
L_cuneus,0.05,1911,7663,9574,lh,0.2145175843375185,1.0227501131703698,0.004384763580464937,0.0846434016228536,0.0827605888602368,584,0.05
L_entorhinal,-0.04,1911,7663,9574,lh,0.347724072261647,1.058731330617085,0.007107519193880669,0.087621228366652,0.0827605888602368,584,-0.04
L_fusiform,-0.12,1911,7663,9574,lh,0.2199788565103603,1.0239095161739662,0.0044963925986661055,0.0847393544981575,0.0827605888602368,584,-0.12
L_inferiorparietal,-0.06,1911,7663,9574,lh,0.1388691826870925,1.0095962806489438,0.0028385017320409892,0.0835547826976114,0.0827605888602368,584,-0.06
L_inferiortemporal,-0.05,1911,7663,9574,lh,0.1931727905328623,1.01848697929932,0.003948473591482336,0.0842905821532955,0.0827605888602368,584,-0.05
L_isthmuscingulate,-0.1,1911,7663,9574,lh,0.2212486498239776,1.024183072037872,0.004522347316986571,0.0847619941425406,0.0827605888602368,584,-0.1
L_lateraloccipital,-0.02,1911,7663,9574,lh,0.1493056868036902,1.0110846592209386,0.0030518250514283145,0.0836779617846767,0.0827605888602368,584,-0.02
L_lateralorbitofrontal,-0.05,1911,7663,9574,lh,0.2368625051545744,1.0276691327212766,0.00484149627820427,0.0850505025775016,0.0827605888602368,584,-0.05
L_lingual,0.01,1911,7663,9574,lh,0.2498141822812938,1.0307313547519894,0.005106230017149546,0.0853039338759842,0.0827605888602368,584,0.01
