CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,population_size,hemisphere,NAVR,NAVR_II,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,d_icv_thresholded
ALLEPI_vs_CTL,L_superiorfrontal,-0.283,0.054,-0.389,-0.177,1649,2059,1.51e-07,9.76e-07,3708,lh,0.132671725682411,1.0087625026712428,0.004360452076589324,0.0834857787411982,0.0827605888602368,584,-0.283
ALLEPI_vs_CTL,L_superiorparietal,-0.287,0.077,-0.437,-0.137,1645,2058,0.000177868,0.000554,3703,lh,0.1101292843519363,1.0060459528629244,0.0036176081193034022,0.0832609554793936,0.0827605888602368,584,-0.287
ALLEPI_vs_CTL,L_superiortemporal,-0.18,0.081,-0.338,-0.021,1533,1937,0.026189873,0.0423,3470,lh,0.1260174974969587,1.0079089292567045,0.004138957661491631,0.0834151365027756,0.0827605888602368,584,-0.18
ALLEPI_vs_CTL,L_supramarginal,-0.232,0.06,-0.348,-0.115,1606,1965,9.87e-05,0.000332,3571,lh,0.1406715982860254,1.009845779594263,0.004746760750187613,0.0835754313772461,0.0827605888602368,584,-0.232
ALLEPI_vs_CTL,L_frontalpole,-0.078,0.048,-0.172,0.016,1648,2058,0.103731694,0.139,3706,lh,0.3407844666065796,1.0564724571328543,0.01119736100972027,0.0874342826669363,0.0827605888602368,584,-0.078
ALLEPI_vs_CTL,L_temporalpole,-0.205,0.061,-0.324,-0.086,1643,2055,0.000748863,0.0021,3698,lh,0.3656352824157033,1.0647484020871838,0.012004183217112661,0.0881192047447315,0.0827605888602368,584,-0.205
ALLEPI_vs_CTL,L_transversetemporal,-0.192,0.044,-0.278,-0.107,1647,2061,1.05e-05,4.64e-05,3708,lh,0.1956680130206627,1.018963184476973,0.006422252195578969,0.0843299931742164,0.0827605888602368,584,-0.192
ALLEPI_vs_CTL,L_insula,0.014,0.048,-0.08,0.107,1610,2026,0.773355712,0.822,3636,lh,0.2981904866965747,1.0435121304308543,0.009791220356601403,0.0863616783972577,0.0827605888602368,584,0.014
ALLEPI_vs_CTL,R_bankssts,-0.058,0.064,-0.185,0.068,1621,2023,0.365900875,0.405,3644,rh,0.1534593994993605,1.0117063740506451,0.0050525463589863855,0.0837294152700864,0.0827605888602368,584,-0.058
ALLEPI_vs_CTL,R_caudalanteriorcingulate,0.014,0.062,-0.108,0.136,1652,2056,0.824041638,0.854,3708,rh,0.2345456463717201,1.0271376053051158,0.007702451191779466,0.0850065130555448,0.0827605888602368,584,0.014
ALLEPI_vs_CTL,R_caudalmiddlefrontal,-0.307,0.051,-0.407,-0.206,1653,2059,2.09e-09,2.04e-08,3712,rh,0.1700381669057965,1.014353477937885,0.005589310068254952,0.0839484911465685,0.0827605888602368,584,-0.307
ALLEPI_vs_CTL,R_cuneus,-0.204,0.038,-0.279,-0.129,1651,2057,9.68e-08,6.78e-07,3708,rh,0.2110250670946185,1.0220232771039457,0.0069356502848829825,0.0845832482419915,0.0827605888602368,584,-0.204
ALLEPI_vs_CTL,R_entorhinal,-0.161,0.056,-0.271,-0.051,1373,1691,0.004240488,0.0089,3064,rh,0.3352087278490374,1.054687105840481,0.01100673115425602,0.0872865259426571,0.0827605888602368,584,-0.161
ALLEPI_vs_CTL,R_fusiform,-0.116,0.044,-0.202,-0.029,1650,2057,0.008563443,0.016,3707,rh,0.2034578796835348,1.0204876818488893,0.00687714932716437,0.084456161474432,0.0827605888602368,584,-0.116
ALLEPI_vs_CTL,R_inferiorparietal,-0.171,0.074,-0.316,-0.025,1643,2045,0.021524412,0.0361,3688,rh,0.1402146441904612,1.0097822272378625,0.004603391301474327,0.0835701717468069,0.0827605888602368,584,-0.171
ALLEPI_vs_CTL,R_inferiortemporal,-0.072,0.042,-0.154,0.01,1652,2057,0.083642697,0.115,3709,rh,0.1804525516817452,1.0161511321690553,0.005926040381742477,0.0840972660693073,0.0827605888602368,584,-0.072
ALLEPI_vs_CTL,R_isthmuscingulate,0.009,0.049,-0.088,0.106,1651,2057,0.856104204,0.866,3708,rh,0.2184653938129115,1.0235854279413277,0.0071743776060970675,0.0847125327651817,0.0827605888602368,584,0.009
ALLEPI_vs_CTL,R_lateraloccipital,-0.199,0.064,-0.324,-0.074,1653,2058,0.001766698,0.00437,3711,rh,0.1526839267879651,1.0115890378505457,0.005014798112309181,0.0837197044570715,0.0827605888602368,584,-0.199
ALLEPI_vs_CTL,R_lateralorbitofrontal,-0.109,0.053,-0.213,-0.006,1651,2057,0.038665361,0.057,3708,rh,0.2955741158849632,1.04276749948451,0.009710546838017826,0.0863000523016547,0.0827605888602368,584,-0.109
ALLEPI_vs_CTL,R_lingual,-0.162,0.048,-0.256,-0.067,1653,2056,0.000814011,0.00214,3709,rh,0.2610434941592119,1.033510380133093,0.008579579713249897,0.0855339276529819,0.0827605888602368,584,-0.162
ALLEPI_vs_CTL,R_medialorbitofrontal,-0.053,0.035,-0.122,0.015,1636,2025,0.126480352,0.165,3661,rh,0.2374629973130645,1.0278077033632822,0.00794750877014497,0.0850619707654328,0.0827605888602368,584,-0.053
ALLEPI_vs_CTL,R_middletemporal,-0.124,0.042,-0.205,-0.042,1642,2050,0.00301793,0.00668,3692,rh,0.1421137530783172,1.010047681455685,0.00467393481402552,0.0835921408941893,0.0827605888602368,584,-0.124
ALLEPI_vs_CTL,R_parahippocampal,-0.094,0.035,-0.162,-0.026,1650,2053,0.006946998,0.0139,3703,rh,0.1475454646038709,1.0108262284513456,0.004846028871151579,0.0836565739020056,0.0827605888602368,584,-0.094
ALLEPI_vs_CTL,R_paracentral,-0.315,0.053,-0.418,-0.212,1654,2059,2.19e-09,2.04e-08,3713,rh,0.1965077196420784,1.0191247636471843,0.006517749640240866,0.0843433655614906,0.0827605888602368,584,-0.315
ALLEPI_vs_CTL,R_parsopercularis,-0.177,0.036,-0.247,-0.107,1652,2059,6.48e-07,3.63e-06,3711,rh,0.1842800518819023,1.0168378127910058,0.006052551016695776,0.0841540961619388,0.0827605888602368,584,-0.177
ALLEPI_vs_CTL,R_parsorbitalis,-0.141,0.053,-0.246,-0.036,1654,2057,0.008268133,0.0158,3711,rh,0.2583572701375833,1.032835165470727,0.008486710538715591,0.0854780464899174,0.0827605888602368,584,-0.141
ALLEPI_vs_CTL,R_parstriangularis,-0.199,0.036,-0.27,-0.128,1652,2058,4.25e-08,3.25e-07,3710,rh,0.2348309682032626,1.0272027957649268,0.0077118211268663115,0.0850119082563869,0.0827605888602368,584,-0.199
ALLEPI_vs_CTL,R_pericalcarine,-0.13,0.05,-0.228,-0.032,1654,2056,0.009147753,0.0167,3710,rh,0.2823649468492684,1.0391005549075556,0.009270332265733558,0.0859965738091481,0.0827605888602368,584,-0.13
ALLEPI_vs_CTL,R_postcentral,-0.116,0.101,-0.313,0.081,1648,2057,0.24884394,0.287,3705,rh,0.1919447953904879,1.0182547836752334,0.006303444301277766,0.0842713655067153,0.0827605888602368,584,-0.116
ALLEPI_vs_CTL,R_posteriorcingulate,-0.07,0.063,-0.193,0.053,1654,2056,0.265422689,0.301,3710,rh,0.229542991757253,1.0260068153111217,0.007555499605241199,0.0849129282097646,0.0827605888602368,584,-0.07
ALLEPI_vs_CTL,R_precentral,-0.399,0.044,-0.485,-0.313,1649,2054,8.85e-20,7.43e-18,3703,rh,0.203213697138652,1.0204390264512426,0.006669918053916196,0.0844521347250715,0.0827605888602368,584,-0.399
ALLEPI_vs_CTL,R_precuneus,-0.275,0.066,-0.404,-0.147,1654,2055,2.7e-05,0.000107,3709,rh,0.1368537324431657,1.0093210312302154,0.00449304910439606,0.083532002893634,0.0827605888602368,584,-0.275
ALLEPI_vs_CTL,R_rostralanteriorcingulate,0.093,0.054,-0.013,0.199,1652,2055,0.086405065,0.117,3707,rh,0.2607243987946873,1.033429829319268,0.008561004307085188,0.0855272612201966,0.0827605888602368,584,0.093
ALLEPI_vs_CTL,R_rostralmiddlefrontal,-0.197,0.057,-0.309,-0.085,1654,2058,0.000593987,0.00172,3712,rh,0.192271968463831,1.0183165077012926,0.006313337600010396,0.0842764738234588,0.0827605888602368,584,-0.197
ALLEPI_vs_CTL,R_superiorfrontal,-0.269,0.059,-0.385,-0.154,1650,2058,4.49e-06,2.1e-05,3708,rh,0.1426994383762407,1.0101302538350658,0.004686232621198897,0.0835989746329305,0.0827605888602368,584,-0.269
ALLEPI_vs_CTL,R_superiorparietal,-0.313,0.094,-0.497,-0.13,1653,2058,0.000813344,0.00214,3711,rh,0.1081804550791144,1.0058344848239815,0.0035511974153949917,0.0832434542599656,0.0827605888602368,584,-0.313
ALLEPI_vs_CTL,R_superiortemporal,-0.123,0.059,-0.239,-0.007,1555,1958,0.038373563,0.057,3513,rh,0.1130545562343416,1.006370375500662,0.0037116976173635183,0.0832878048879324,0.0827605888602368,584,-0.123
ALLEPI_vs_CTL,R_supramarginal,-0.223,0.055,-0.331,-0.115,1597,1971,5.24e-05,0.000191,3568,rh,0.1349963545396925,1.0090708675504445,0.0045200122696922584,0.0835112992001847,0.0827605888602368,584,-0.223
ALLEPI_vs_CTL,R_frontalpole,-0.109,0.048,-0.203,-0.014,1654,2057,0.023742679,0.039,3711,rh,0.3308039802832321,1.0532954349902164,0.010862099263045192,0.0871713504435895,0.0827605888602368,584,-0.109
ALLEPI_vs_CTL,R_temporalpole,-0.181,0.052,-0.284,-0.078,1648,2048,0.00055113,0.00165,3696,rh,0.3205953854095554,1.0501339919962125,0.010546813861324868,0.0869097075597577,0.0827605888602368,584,-0.181
ALLEPI_vs_CTL,R_transversetemporal,-0.182,0.044,-0.268,-0.097,1654,2059,2.81e-05,0.000107,3713,rh,0.1930159768564547,1.018457248647115,0.006392273863499951,0.0842881216270118,0.0827605888602368,584,-0.182
ALLEPI_vs_CTL,R_insula,-0.022,0.047,-0.113,0.07,1615,2032,0.642141062,0.691,3647,rh,0.3167477759911346,1.0489657542528878,0.010401959373015999,0.0868130235161914,0.0827605888602368,584,-0.022
